name1,name2,book,chapter
Tattersail,Mallet,1,11
Tattersail,Ganoes Stabro Paran,1,11
Mallet,Ganoes Stabro Paran,1,11
Whiskeyjack,Tattersail,1,11
Whiskeyjack,Ganoes Stabro Paran,1,11
Tattersail,Ganoes Stabro Paran,1,11
Tattersail,Ganoes Stabro Paran,1,11
Whiskeyjack,Lorn,1,11
Whiskeyjack,Dujek Onearm,1,11
Whiskeyjack,Dujek Onearm,1,11
Whiskeyjack,Lorn,1,11
Dujek Onearm,Lorn,1,11
Dujek Onearm,Lorn,1,11
Whiskeyjack,Tattersail,1,11
Whiskeyjack,Tattersail,1,11
Whiskeyjack,Lorn,1,11
Tattersail,Lorn,1,11
Tattersail,Tahl,1,11
Lorn,Tahl,1,11
Ganoes Stabro Paran,Lorn,1,11
Ganoes Stabro Paran,Tahl,1,11
Lorn,Tahl,1,11
Tattersail,Tayschrenn,1,11
Tattersail,Bellurdan,1,11
Tattersail,Tayschrenn,1,11
Tattersail,Bellurdan,1,11
Tayschrenn,Bellurdan,1,11
Tayschrenn,Bellurdan,1,11
Bellurdan,Lorn,1,11
T'riss,Bellurdan,1,11
Bellurdan,Dreams,1,11
Tattersail,Bellurdan,1,11
Tattersail,Lorn,1,11
Bellurdan,Lorn,1,11
Tattersail,Nightchill,1,11
Hairlock,Hood,1,11
Hairlock,Soliel,1,11
Lorn,Onos T'oolan,1,11
Tennes,Lorn,1,11
Tennes,Lorn,1,11
Tennes,Hood,1,11
Lorn,Hood,1,11
Tennes,Hood,1,11
Caladan Brood,Anomander Rake,1,11
Anomander Rake,Caladan Brood,1,11
Crone,Dela,1,11
Caladan Brood,Crone,1,11
Caladan Brood,Dela,1,11
Crone,Dela,1,11
Caladan Brood,Crone,1,11
Jorrick,Caladan Brood,1,11
Jorrick Sharplance,Caladan Brood,1,11
Jorrick Sharplance,Sharplance,1,11
Jorrick Sharplance,Caladan Brood,1,11
Sharplance,Caladan Brood,1,11
Jorrick Sharplance,Sharplance,1,11
Jorrick Sharplance,Crone,1,11
Jorrick Sharplance,Caladan Brood,1,11
Sharplance,Crone,1,11
Sharplance,Caladan Brood,1,11
Crone,Caladan Brood,1,11
Jorrick Sharplance,Sharplance,1,11
Jorrick Sharplance,Crone,1,11
Sharplance,Crone,1,11
Sharplance,Crone,1,11
Jorrick,Crone,1,11
Jorrick,Crone,1,11
Jorrick,Caladan Brood,1,11
Crone,Caladan Brood,1,11
Crone,Caladan Brood,1,11
Anomander Rake,Crone,1,11
Anomander Rake,Caladan Brood,1,11
Crone,Caladan Brood,1,11
Anomander Rake,Crone,1,11
Laseen,Caladan Brood,1,11
Laseen,Anomander Rake,1,11
Caladan Brood,Anomander Rake,1,11
Laseen,Caladan Brood,1,11
Laseen,Crone,1,11
Crone,Anomander Rake,1,11
Caladan Brood,Crone,1,11
Caladan Brood,Anomander Rake,1,11
Crone,Anomander Rake,1,11
Scant,Caladan Brood,1,11
Crone,Scant,1,11
Crone,Caladan Brood,1,11
Scant,Caladan Brood,1,11
Crone,Scant,1,11
Crone,Anomander Rake,1,11
Scant,Anomander Rake,1,11
Caladan Brood,Anomander Rake,1,11
Crone,Caladan Brood,1,11
Crone,Anomander Rake,1,11
Caladan Brood,Anomander Rake,1,11
Kallor,Crone,1,11
Kallor,Caladan Brood,1,11
Jorrick,Kallor,1,11
Jorrick Sharplance,Kallor,1,11
Jorrick Sharplance,Kallor,1,11
